topic_id,topic_name
"('topic_id', 'bt-0')",Diverse Topics
"('topic_id', 'bt-1')",Business Market Analysis
"('topic_id', 'bt-10')",Complex Concepts
"('topic_id', 'bt-11')",Linguistic Understanding
"('topic_id', 'bt-12')",Social Impact Analysis
"('topic_id', 'bt-13')",The Ecosystem
"('topic_id', 'bt-14')",Language Processing
"('topic_id', 'bt-2')",Communication Options
"('topic_id', 'bt-3')",Community Health Development
"('topic_id', 'bt-4')",Programming Concepts
"('topic_id', 'bt-5')",Experiencing Food Options
"('topic_id', 'bt-6')",Comprehensive Movie Analysis
"('topic_id', 'bt-7')",Sustainable Development
"('topic_id', 'bt-8')",Programming Language Fundamentals
"('topic_id', 'bt-9')",Multifaceted Experience Exploration
